three_other_constraints_for_tomato_production_Aug_Sept_2020,other_constraints_for_tomato_production_Aug_Sept_2020,level_of_severity_tomato_production_Aug_Sept_2020,PARENT_KEY,KEY
Drought,,Medium,uuid:e1e9b848-4ed4-440b-8a64-98a747ee143f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e1e9b848-4ed4-440b-8a64-98a747ee143f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:54592387-8f0a-4a59-8c9f-9e5839dd8404/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:54592387-8f0a-4a59-8c9f-9e5839dd8404/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:805cf1b9-4e28-4e62-8fae-6888c0ab8f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,Medium,uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Leaf_eaters_,,Low,uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a315471a-5314-4119-91ea-daf90803b1ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Soil_fertility_exhaustion_,,High,uuid:07c584f5-10c8-436a-8230-9ae9614b48bf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:07c584f5-10c8-436a-8230-9ae9614b48bf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Bright,High,uuid:07c584f5-10c8-436a-8230-9ae9614b48bf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:07c584f5-10c8-436a-8230-9ae9614b48bf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
Soil_fertility_exhaustion_,,High,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Aphids,,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Animals,Medium,uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac7d1a54-b90d-4a04-9286-b09110c2c79b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[3]
Soil_fertility_exhaustion_,,High,uuid:f9d1646e-db43-4495-8fc4-7c92357bdbfd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f9d1646e-db43-4495-8fc4-7c92357bdbfd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Red_spider_mite,,Low,uuid:be1088bd-fded-4c04-9579-7b20c04053fd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:be1088bd-fded-4c04-9579-7b20c04053fd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,Medium,uuid:d882ddfb-dd1a-4cc4-973a-aa0e90fc69bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d882ddfb-dd1a-4cc4-973a-aa0e90fc69bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,Medium,uuid:d882ddfb-dd1a-4cc4-973a-aa0e90fc69bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:d882ddfb-dd1a-4cc4-973a-aa0e90fc69bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,Medium,uuid:c7d2ff26-8041-4025-9544-b0ce88abfb2b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c7d2ff26-8041-4025-9544-b0ce88abfb2b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,Medium,uuid:c7d2ff26-8041-4025-9544-b0ce88abfb2b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c7d2ff26-8041-4025-9544-b0ce88abfb2b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Fog and mist,Medium,uuid:11c110f1-0254-4c04-9ab0-3280229e1356/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:11c110f1-0254-4c04-9ab0-3280229e1356/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
